Self-contained mixed-variable MOO wrappers generated by generate_selfcontained_wrappers_MOO_mix.m
Variables follow a deterministic C/K/D/C/D/K cyclic pattern; heterogeneity applies only to C variables.
D values are nonuniform and sorted; K values are nonuniform embeddings with permuted labels.

baseline_1/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1)
extreme_1e8/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
baseline_1/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=1)
moderate_1e4/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=10000)
progressive_1e6/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/MOP5_mix.m    (source=MOP5, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
baseline_1/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/MOP6_mix.m    (source=MOP6, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=1)
moderate_1e4/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=10000)
progressive_1e6/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/MOP7_mix.m    (source=MOP7, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
baseline_1/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/BK1_mix.m    (source=BK1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/DPAM1_mix.m    (source=DPAM1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=1)
moderate_1e4/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=10000)
progressive_1e6/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
sobol_digit_oscillatory_1e6/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/DG01_mix.m    (source=DG01, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
baseline_1/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=1)
moderate_1e4/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=10000)
progressive_1e6/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
sobol_digit_oscillatory_1e6/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/DG02_mix.m    (source=DG02, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
baseline_1/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Far1_mix.m    (source=Far1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/FES1_mix.m    (source=FES1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=1)
moderate_1e4/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=10000)
progressive_1e6/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/FES2_mix.m    (source=FES2, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
baseline_1/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=1)
moderate_1e4/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=10000)
progressive_1e6/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/FES3_mix.m    (source=FES3, n=10, m=4, C=4, D=3, K=3, kappa=1000000)
baseline_1/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=1)
moderate_1e4/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=10000)
progressive_1e6/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/IKK1_mix.m    (source=IKK1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
baseline_1/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Jin1_mix.m    (source=Jin1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Jin2_mix.m    (source=Jin2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Jin3_mix.m    (source=Jin3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Jin4_mix.m    (source=Jin4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/OKA1_mix.m    (source=OKA1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=1)
moderate_1e4/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=10000)
progressive_1e6/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
extreme_1e8/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/OKA2_mix.m    (source=OKA2, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
baseline_1/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/LRS1_mix.m    (source=LRS1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/IM1_mix.m    (source=IM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/LE1_mix.m    (source=LE1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=1)
moderate_1e4/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=10000)
progressive_1e6/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=1000000)
sobol_digit_oscillatory_1e6/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/MHHM1_mix.m    (source=MHHM1, n=1, m=3, C=1, D=0, K=0, kappa=1000000)
baseline_1/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=1)
moderate_1e4/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=10000)
progressive_1e6/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/MHHM2_mix.m    (source=MHHM2, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
baseline_1/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=1)
moderate_1e4/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=10000)
progressive_1e6/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
sobol_digit_oscillatory_1e6/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/MLF1_mix.m    (source=MLF1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
baseline_1/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/MLF2_mix.m    (source=MLF2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/QV1_mix.m    (source=QV1, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=1)
moderate_1e4/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=10000)
progressive_1e6/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
sobol_digit_oscillatory_1e6/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/Sch1_mix.m    (source=Sch1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
baseline_1/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/SP1_mix.m    (source=SP1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/SSFYY1_mix.m    (source=SSFYY1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=1)
moderate_1e4/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=10000)
progressive_1e6/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
